Student name,Score,LetterGrade
Latifah Rodriquez,14,F
Rigel Bruce,2,F
Rogan Guy,71,C
Cheyenne Huber,63,D
Nehru Boyer,9,F
Brian Sears,79,C+
Devin Hawkins,42,F
Amos Haley,47,F
Darryl Osborne,28,F
Camille Mckinney,25,F
Dylan Hale,16,F
Dean May,77,C+
Lydia Bolton,72,C
Mallory Nelson,56,F
Rhea Sandoval,17,F
Kay Stevens,44,F
Kadeem Howard,95,A
Orlando Bryant,94,A
Clarke Cruz,55,F
Renee Donaldson,41,F
Amanda Hood,8,F
Kato Reed,90,A
Jarrod Reid,23,F
Christian Henson,20,F
Luke Maynard,23,F
Bevis Rivers,52,F
Ivana Barry,27,F
Chadwick Hanson,80,B-
Denton Bauer,43,F
Garth Herrera,71,C-
Angela Phillips,44,F
Imelda Mcgee,49,F
Hoyt Montgomery,29,F
Savannah Miller,7,F
Hollee Thornton,46,F
Fatima Middleton,86,B+
Barrett Burns,8,F
Demetrius Jefferson,67,D+
Alan Mayer,93,A
Denise Shelton,65,F
Adele Kerr,3,F
Curran Farley,97,A
Jakeem Armstrong,7,F
Xenos Reynolds,29,F
Calvin Parks,73,C
Melodie Burgess,37,F
Warren Farley,72,C
Mollie Anderson,36,F
Chantale Jacobs,37,F
Cameron Clark,80,B-
