Student name,Score,Grade
Jolie Chapman,81,B-
Hayden Delgado,92,A-
Dahlia Montgomery,84,B-
Eaton Leonard,25,F
Jenette Rivers,81,B-
Ashton Short,95,A-
Gisela Bradford,39,F
Urielle Sweeney,82,B
Sybil Walsh,99,A-
Carson Nieves,59,F
Lacey Levine,88,B+
Ezekiel Reyes,43,F
Jana Ewing,53,F
Abra Vazquez,86,B+
Myra Blankenship,83,B
Jamalia Leach,40,F
Howard Jackson,48,F
Chelsea Pitts,88,B+
Eliana Kelley,56,F
Marny Juarez,5,F
Colleen Glass,62,D-
Dylan Lyons,62,D-
Bert Kim,89,A-
Mollie Maxwell,72,C
Kaseem Downs,53,F
Rudyard Parks,38,F
Beau Doyle,96,A
Keane Marshall,34,F
Jane Hunter,81,B-
Abel Cole,14,F
Paloma Farley,76,C+
Ramona Dotson,82,B
Zachery Daugherty,74,C
Stephanie Knight,76,C+
Whitney Conrad,62,D-
Warren Hull,31,F
Steven Duncan,32,F
Catherine Hines,16,F
Zeph Crane,23,F
Samantha Snow,98,A
Dai Patel,7,F
Sean Morrow,30,F
Florence Love,61,D-
Illiana Powers,73,C
Sybil Jimenez,53,F
Raymond Hale,13,F
Tucker Callahan,54,F
Hayes Woodward,88,B+
Sade Baldwin,46,F
Dexter Saunders,70,C-
